Absolute Time,PosXLeft,PosYLeft,R2_continuous,select ,alpha_VSP1,Current Mode ,omega_VSP1,u_BT,u_VSP1,f_bt,f_vspx,f_vspy,tau_x,tau_y,tau_yaw
3568703566.047714,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.057715,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.067715,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.077713,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.087714,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.097713,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.107715,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.117715,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.127715,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.137712,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.147713,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.157713,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.167714,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.177716,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.187715,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.197713,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.207714,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.217715,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
3568703566.227716,1.000000,0.000000,0.000000,0.000000,1.570796,3.000000,0.300000,0.970201,0.927207,2.550657,-0.000000,2.160393,-0.000000,4.711050,0.000000
